=== OTIMIZAÇÃO DE ROTA DE DRONE (AG PURO V3) ===

Carregando dados...
Iniciando AG PURO V3...
=== INICIANDO AG PURO V3 (DISTÂNCIA + TEMPO) ===
G111 | Fit: 0.33703 | Dist: 2133.6km | Tempo: ~2184min | Rec: 18 | Stag: 0
G112 | Fit: 0.33731 | Dist: 2132.4km | Tempo: ~2183min | Rec: 18 | Stag: 0
G113 | Fit: 0.33731 | Dist: 2132.4km | Tempo: ~2183min | Rec: 18 | Stag: 1
G114 | Fit: 0.33804 | Dist: 2128.5km | Tempo: ~2179min | Rec: 18 | Stag: 0
G115 | Fit: 0.34434 | Dist: 2096.3km | Tempo: ~2145min | Rec: 18 | Stag: 0
G116 | Fit: 0.34434 | Dist: 2096.3km | Tempo: ~2145min | Rec: 18 | Stag: 1
G117 | Fit: 0.34434 | Dist: 2096.3km | Tempo: ~2145min | Rec: 18 | Stag: 2
G118 | Fit: 0.34796 | Dist: 2069.7km | Tempo: ~2126min | Rec: 20 | Stag: 0
G119 | Fit: 0.34796 | Dist: 2069.7km | Tempo: ~2126min | Rec: 20 | Stag: 1
G120 | Fit: 0.35075 | Dist: 2056.5km | Tempo: ~2112min | Rec: 19 | Stag: 0
G121 | Fit: 0.35075 | Dist: 2056.5km | Tempo: ~2112min | Rec: 19 | Stag: 1
G122 | Fit: 0.35075 | Dist: 2056.5km | Tempo: ~2112min | Rec: 19 | Stag: 2
G123 | Fit: 0.35229 | Dist: 2054.6km | Tempo: ~2104min | Rec: 18 | Stag: 0
G124 | Fit: 0.35247 | Dist: 2050.9km | Tempo: ~2103min | Rec: 19 | Stag: 0
G125 | Fit: 0.35540 | Dist: 2034.2km | Tempo: ~2088min | Rec: 19 | Stag: 0
G126 | Fit: 0.35566 | Dist: 2029.7km | Tempo: ~2087min | Rec: 20 | Stag: 0
G127 | Fit: 0.35566 | Dist: 2029.7km | Tempo: ~2087min | Rec: 20 | Stag: 1
G128 | Fit: 0.35599 | Dist: 2036.3km | Tempo: ~2085min | Rec: 18 | Stag: 0
G129 | Fit: 0.35945 | Dist: 2018.6km | Tempo: ~2068min | Rec: 18 | Stag: 0
G130 | Fit: 0.35962 | Dist: 2012.6km | Tempo: ~2067min | Rec: 19 | Stag: 0
G131 | Fit: 0.36331 | Dist: 1999.4km | Tempo: ~2049min | Rec: 18 | Stag: 0
G132 | Fit: 0.36331 | Dist: 1999.4km | Tempo: ~2049min | Rec: 18 | Stag: 1
G133 | Fit: 0.36331 | Dist: 1999.4km | Tempo: ~2049min | Rec: 18 | Stag: 2
G134 | Fit: 0.36444 | Dist: 1989.3km | Tempo: ~2043min | Rec: 19 | Stag: 0
G135 | Fit: 0.36918 | Dist: 1975.2km | Tempo: ~2020min | Rec: 17 | Stag: 0
G136 | Fit: 0.36918 | Dist: 1975.2km | Tempo: ~2020min | Rec: 17 | Stag: 1
G137 | Fit: 0.37024 | Dist: 1966.6km | Tempo: ~2015min | Rec: 17 | Stag: 0
G138 | Fit: 0.37198 | Dist: 1959.2km | Tempo: ~2007min | Rec: 17 | Stag: 0
G139 | Fit: 0.37198 | Dist: 1959.2km | Tempo: ~2007min | Rec: 17 | Stag: 1
G140 | Fit: 0.37198 | Dist: 1959.2km | Tempo: ~2007min | Rec: 17 | Stag: 2
G141 | Fit: 0.37198 | Dist: 1959.2km | Tempo: ~2007min | Rec: 17 | Stag: 3
G142 | Fit: 0.37493 | Dist: 1942.8km | Tempo: ~1993min | Rec: 18 | Stag: 0
G143 | Fit: 0.37493 | Dist: 1942.8km | Tempo: ~1993min | Rec: 18 | Stag: 1
G144 | Fit: 0.37681 | Dist: 1937.2km | Tempo: ~1984min | Rec: 17 | Stag: 0
G145 | Fit: 0.37681 | Dist: 1937.2km | Tempo: ~1984min | Rec: 17 | Stag: 1
G146 | Fit: 0.37681 | Dist: 1937.2km | Tempo: ~1984min | Rec: 17 | Stag: 2
G147 | Fit: 0.37681 | Dist: 1937.2km | Tempo: ~1984min | Rec: 17 | Stag: 3
G148 | Fit: 0.37681 | Dist: 1937.2km | Tempo: ~1984min | Rec: 17 | Stag: 4
G149 | Fit: 0.37900 | Dist: 1925.7km | Tempo: ~1973min | Rec: 17 | Stag: 0
G150 | Fit: 0.37900 | Dist: 1925.7km | Tempo: ~1973min | Rec: 17 | Stag: 1
G151 | Fit: 0.37900 | Dist: 1925.7km | Tempo: ~1973min | Rec: 17 | Stag: 2
G152 | Fit: 0.37900 | Dist: 1925.7km | Tempo: ~1973min | Rec: 17 | Stag: 3
G153 | Fit: 0.37961 | Dist: 1920.8km | Tempo: ~1971min | Rec: 18 | Stag: 0
G154 | Fit: 0.37961 | Dist: 1920.8km | Tempo: ~1971min | Rec: 18 | Stag: 1
G155 | Fit: 0.38124 | Dist: 1913.8km | Tempo: ~1963min | Rec: 18 | Stag: 0
G156 | Fit: 0.38147 | Dist: 1915.1km | Tempo: ~1962min | Rec: 17 | Stag: 0
G157 | Fit: 0.38231 | Dist: 1910.6km | Tempo: ~1958min | Rec: 17 | Stag: 0
G158 | Fit: 0.38231 | Dist: 1910.6km | Tempo: ~1958min | Rec: 17 | Stag: 1
G159 | Fit: 0.38465 | Dist: 1902.6km | Tempo: ~1947min | Rec: 16 | Stag: 0
G160 | Fit: 0.38465 | Dist: 1902.6km | Tempo: ~1947min | Rec: 16 | Stag: 1
G161 | Fit: 0.38465 | Dist: 1902.6km | Tempo: ~1947min | Rec: 16 | Stag: 2
G162 | Fit: 0.38465 | Dist: 1902.6km | Tempo: ~1947min | Rec: 16 | Stag: 3
G163 | Fit: 0.38566 | Dist: 1897.5km | Tempo: ~1943min | Rec: 16 | Stag: 0
G164 | Fit: 0.38566 | Dist: 1897.5km | Tempo: ~1943min | Rec: 16 | Stag: 1
G165 | Fit: 0.38566 | Dist: 1897.5km | Tempo: ~1943min | Rec: 16 | Stag: 2
G166 | Fit: 0.38566 | Dist: 1897.5km | Tempo: ~1943min | Rec: 16 | Stag: 3
G167 | Fit: 0.38716 | Dist: 1886.6km | Tempo: ~1936min | Rec: 18 | Stag: 0
G168 | Fit: 0.38716 | Dist: 1886.6km | Tempo: ~1936min | Rec: 18 | Stag: 1
G169 | Fit: 0.38716 | Dist: 1886.6km | Tempo: ~1936min | Rec: 18 | Stag: 2
G170 | Fit: 0.38716 | Dist: 1886.6km | Tempo: ~1936min | Rec: 18 | Stag: 3
G171 | Fit: 0.38928 | Dist: 1881.9km | Tempo: ~1926min | Rec: 16 | Stag: 0
G172 | Fit: 0.39172 | Dist: 1868.9km | Tempo: ~1915min | Rec: 17 | Stag: 0
G173 | Fit: 0.39172 | Dist: 1868.9km | Tempo: ~1915min | Rec: 17 | Stag: 1
G174 | Fit: 0.39234 | Dist: 1868.9km | Tempo: ~1913min | Rec: 16 | Stag: 0
G175 | Fit: 0.39234 | Dist: 1868.9km | Tempo: ~1913min | Rec: 16 | Stag: 1
G176 | Fit: 0.39234 | Dist: 1868.9km | Tempo: ~1913min | Rec: 16 | Stag: 2
G177 | Fit: 0.39351 | Dist: 1864.0km | Tempo: ~1907min | Rec: 16 | Stag: 0
G178 | Fit: 0.39422 | Dist: 1857.7km | Tempo: ~1904min | Rec: 17 | Stag: 0
G179 | Fit: 0.39422 | Dist: 1857.7km | Tempo: ~1904min | Rec: 17 | Stag: 1
G180 | Fit: 0.39655 | Dist: 1851.6km | Tempo: ~1894min | Rec: 16 | Stag: 0
G181 | Fit: 0.39655 | Dist: 1851.6km | Tempo: ~1894min | Rec: 16 | Stag: 1
G182 | Fit: 0.39655 | Dist: 1851.6km | Tempo: ~1894min | Rec: 16 | Stag: 2
G183 | Fit: 0.39655 | Dist: 1851.6km | Tempo: ~1894min | Rec: 16 | Stag: 3
G184 | Fit: 0.39683 | Dist: 1849.3km | Tempo: ~1893min | Rec: 15 | Stag: 0
G185 | Fit: 0.39683 | Dist: 1849.3km | Tempo: ~1893min | Rec: 15 | Stag: 1
G186 | Fit: 0.39787 | Dist: 1839.3km | Tempo: ~1888min | Rec: 18 | Stag: 0
G187 | Fit: 0.39856 | Dist: 1839.9km | Tempo: ~1885min | Rec: 16 | Stag: 0
G188 | Fit: 0.39856 | Dist: 1839.9km | Tempo: ~1885min | Rec: 16 | Stag: 1
G189 | Fit: 0.39856 | Dist: 1839.9km | Tempo: ~1885min | Rec: 16 | Stag: 2
G190 | Fit: 0.40142 | Dist: 1827.8km | Tempo: ~1873min | Rec: 16 | Stag: 0
G191 | Fit: 0.40369 | Dist: 1816.9km | Tempo: ~1863min | Rec: 17 | Stag: 0
G192 | Fit: 0.40369 | Dist: 1816.9km | Tempo: ~1863min | Rec: 17 | Stag: 1
G193 | Fit: 0.40369 | Dist: 1816.9km | Tempo: ~1863min | Rec: 17 | Stag: 2
G194 | Fit: 0.40772 | Dist: 1802.3km | Tempo: ~1846min | Rec: 15 | Stag: 0
G195 | Fit: 0.40772 | Dist: 1802.3km | Tempo: ~1846min | Rec: 15 | Stag: 1
G196 | Fit: 0.40772 | Dist: 1802.3km | Tempo: ~1846min | Rec: 15 | Stag: 2
G197 | Fit: 0.40772 | Dist: 1802.3km | Tempo: ~1846min | Rec: 15 | Stag: 3
G198 | Fit: 0.40895 | Dist: 1794.5km | Tempo: ~1841min | Rec: 17 | Stag: 0
