CEP_inicial,Latitude_inicial,Longitude_inicial,Dia_do_voo,Hora_inicial,Velocidade,CEP_final,Latitude_final,Longitude_final,Pouso,Hora_final
81880240.0,-25.5404745077498,-49.2975794776044,1,09:20:55,80,81880380.0,-25.5395481532947,-49.2924784574248,NÃO,09:21:19
81880380.0,-25.5395481532947,-49.2924784574248,1,09:22:31,88,81910030.0,-25.5361378385276,-49.2685374132639,NÃO,09:24:12
81910030.0,-25.5361378385276,-49.2685374132639,1,09:25:24,96,81910390.0,-25.5316857069475,-49.261658650228,NÃO,09:25:58
81910390.0,-25.5316857069475,-49.261658650228,1,09:27:10,48,81910570.0,-25.5339269047986,-49.2586402382427,NÃO,09:27:36
81910570.0,-25.5339269047986,-49.2586402382427,1,09:28:48,52,81720360.0,-25.5259885359266,-49.2525244997371,NÃO,09:30:16
81720360.0,-25.5259885359266,-49.2525244997371,1,09:31:28,80,81830580.0,-25.525272804958,-49.2599985858237,NÃO,09:32:03
81830580.0,-25.525272804958,-49.2599985858237,1,09:33:15,88,81920747.0,-25.5329949004335,-49.2526856997565,NÃO,09:33:58
81920747.0,-25.5329949004335,-49.2526856997565,1,09:35:10,92,81770160.0,-25.5296962833892,-49.244546883763,NÃO,09:35:47
81770160.0,-25.5296962833892,-49.244546883763,1,09:36:59,48,81770140.0,-25.5277922333666,-49.2459991910781,NÃO,09:37:22
81770140.0,-25.5277922333666,-49.2459991910781,1,09:38:34,80,81750200.0,-25.5157135001734,-49.243793374824,NÃO,09:39:44
81750200.0,-25.5157135001734,-49.243793374824,1,09:40:56,76,81750280.0,-25.5127671393955,-49.2444025714353,NÃO,09:41:15
81750280.0,-25.5127671393955,-49.2444025714353,1,09:42:27,80,81670260.0,-25.5039440665513,-49.2550349720709,NÃO,09:43:38
81670260.0,-25.5039440665513,-49.2550349720709,1,09:44:50,84,81650050.0,-25.4935107881037,-49.2359919665457,NÃO,09:46:32
81650050.0,-25.4935107881037,-49.2359919665457,1,09:47:44,96,81570360.0,-25.4857325221308,-49.2299521315212,NÃO,09:48:28
81570360.0,-25.4857325221308,-49.2299521315212,1,09:49:40,72,81650080.0,-25.4844139677447,-49.2377486322425,NÃO,09:50:21
81650080.0,-25.4844139677447,-49.2377486322425,1,09:51:33,76,81570092.0,-25.47733771481,-49.2394309559741,NÃO,09:52:17
81570092.0,-25.47733771481,-49.2394309559741,1,09:53:29,64,81610090.0,-25.4829752828427,-49.2413676273212,NÃO,09:54:02
81610090.0,-25.4829752828427,-49.2413676273212,1,09:55:14,36,81610220.0,-25.4840165002992,-49.2455067502822,NÃO,09:55:54
81610220.0,-25.4840165002992,-49.2455067502822,1,09:57:06,36,81670110.0,-25.4977016024349,-49.2505578410785,NÃO,09:59:14
81670110.0,-25.4977016024349,-49.2505578410785,1,10:00:26,92,81710590.0,-25.5021303917908,-49.2606525653797,NÃO,10:01:11
81710590.0,-25.5021303917908,-49.2606525653797,1,10:02:23,84,81830020.0,-25.5125646322447,-49.2675350633395,NÃO,10:03:21
81830020.0,-25.5125646322447,-49.2675350633395,1,10:04:33,96,81830300.0,-25.5229877082695,-49.2642839884632,NÃO,10:05:19
81830300.0,-25.5229877082695,-49.2642839884632,1,10:06:31,68,81850712.0,-25.5293962610013,-49.2571259563704,NÃO,10:07:25
81850712.0,-25.5293962610013,-49.2571259563704,1,10:08:37,92,81920735.0,-25.5391678846873,-49.2615212690534,NÃO,10:09:23
81920735.0,-25.5391678846873,-49.2615212690534,1,10:10:35,80,81910550.0,-25.5343119298378,-49.2590953391986,NÃO,10:11:02
81910550.0,-25.5343119298378,-49.2590953391986,1,10:12:14,88,81935474.0,-25.5506130891455,-49.245334911631,NÃO,10:13:48
81935474.0,-25.5506130891455,-49.245334911631,1,10:15:00,88,81935446.0,-25.5561318634792,-49.2494041568186,NÃO,10:15:31
81935446.0,-25.5561318634792,-49.2494041568186,1,10:16:43,80,81935437.0,-25.5569929167696,-49.2495865835216,NÃO,10:16:48
81935437.0,-25.5569929167696,-49.2495865835216,1,10:18:00,48,81935382.0,-25.5594363219748,-49.2516978436888,NÃO,10:18:26
81935382.0,-25.5594363219748,-49.2516978436888,1,10:19:38,96,81935113.0,-25.5499175384761,-49.253610923113,NÃO,10:20:19
81935113.0,-25.5499175384761,-49.253610923113,1,10:21:31,84,81850650.0,-25.5414905884625,-49.2439315883873,NÃO,10:22:29
81850650.0,-25.5414905884625,-49.2439315883873,1,10:23:41,60,81850680.0,-25.54320816435,-49.242931161733,NÃO,10:23:54
81850680.0,-25.54320816435,-49.242931161733,1,10:25:06,96,81920500.0,-25.5428123134011,-49.2544219342922,NÃO,10:25:50
81920500.0,-25.5428123134011,-49.2544219342922,1,10:27:02,76,81935050.0,-25.555508412277,-49.2544885303963,NÃO,10:28:09
81935050.0,-25.555508412277,-49.2544885303963,1,10:29:21,92,81935317.0,-25.5574814410697,-49.2659726298718,NÃO,10:30:07
81935317.0,-25.5574814410697,-49.2659726298718,1,10:31:19,84,81925578.0,-25.5519935625411,-49.267926124915,NÃO,10:31:47
81925578.0,-25.5519935625411,-49.267926124915,1,10:32:59,48,81930367.0,-25.5617914350131,-49.2710241313602,NÃO,10:34:24
81930367.0,-25.5617914350131,-49.2710241313602,1,10:35:36,96,81935303.0,-25.5548054287395,-49.2658406002244,NÃO,10:36:12
81935303.0,-25.5548054287395,-49.2658406002244,1,10:37:24,84,81925567.0,-25.5516863820233,-49.2689271518567,NÃO,10:37:44
81925567.0,-25.5516863820233,-49.2689271518567,1,10:38:56,40,81920230.0,-25.540158846702,-49.2654606035168,NÃO,10:40:56
81920230.0,-25.540158846702,-49.2654606035168,1,10:42:08,84,81900560.0,-25.5386532636233,-49.2709988129397,NÃO,10:42:33
81900560.0,-25.5386532636233,-49.2709988129397,1,10:43:45,80,81825210.0,-25.5262738689431,-49.2736153558222,NÃO,10:44:49
81825210.0,-25.5262738689431,-49.2736153558222,1,10:46:01,40,81910230.0,-25.5278877309024,-49.2672872891657,NÃO,10:47:01
81910230.0,-25.5278877309024,-49.2672872891657,1,10:48:13,76,81910160.0,-25.530759191602,-49.2694617027723,NÃO,10:48:32
81910160.0,-25.530759191602,-49.2694617027723,1,10:49:44,88,81820330.0,-25.5169970179923,-49.2724628977617,NÃO,10:50:48
81820330.0,-25.5169970179923,-49.2724628977617,1,10:52:00,96,81810492.0,-25.5044000000137,-49.2718504999625,NÃO,10:52:53
81810492.0,-25.5044000000137,-49.2718504999625,1,10:54:05,84,81710300.0,-25.4995227903921,-49.2608604414495,NÃO,10:54:58
81710300.0,-25.4995227903921,-49.2608604414495,1,10:56:10,48,81710380.0,-25.4967925893433,-49.2594143510465,NÃO,10:56:36
81710380.0,-25.4967925893433,-49.2594143510465,1,10:57:48,48,81030370.0,-25.4881800174281,-49.2756635796428,NÃO,11:00:10
81030370.0,-25.4881800174281,-49.2756635796428,1,11:01:22,92,80240660.0,-25.4542530556284,-49.2916382221557,NÃO,11:04:03
80240660.0,-25.4542530556284,-49.2916382221557,1,11:05:15,88,80250220.0,-25.4401651682037,-49.2778677639266,NÃO,11:06:41
80250220.0,-25.4401651682037,-49.2778677639266,1,11:07:53,88,80730430.0,-25.430157,-49.293614,NÃO,11:09:13
80730430.0,-25.430157,-49.293614,1,11:10:25,36,80730450.0,-25.4295930000255,-49.2924205417543,NÃO,11:10:39
80730450.0,-25.4295930000255,-49.2924205417543,1,11:11:51,80,80510090.0,-25.4219078028813,-49.2805581841836,NÃO,11:12:57
80510090.0,-25.4219078028813,-49.2805581841836,1,11:14:09,76,80510325.0,-25.4198156998607,-49.2790781765687,NÃO,11:14:23
