=== INICIANDO AG PURO V3.1 (OTIMIZADO 2) ===
G 891 | Fit: 0.83820 | Dist: 585.7km | Tempo: ~601min | Rec: 6 | Stag: 0 | T:571.1s
G 901 | Fit: 0.84024 | Dist: 580.2km | Tempo: ~596min | Rec: 6 | Stag: 1 | T:577.9s
G 911 | Fit: 0.84230 | Dist: 576.0km | Tempo: ~591min | Rec: 6 | Stag: 3 | T:584.5s
G 921 | Fit: 0.84420 | Dist: 570.5km | Tempo: ~587min | Rec: 6 | Stag: 0 | T:595.5s
G 931 | Fit: 0.84486 | Dist: 569.6km | Tempo: ~585min | Rec: 6 | Stag: 0 | T:605.0s
G 941 | Fit: 0.84664 | Dist: 565.9km | Tempo: ~581min | Rec: 5 | Stag: 0 | T:615.2s
G 951 | Fit: 0.85147 | Dist: 552.9km | Tempo: ~569min | Rec: 6 | Stag: 0 | T:622.9s
G 961 | Fit: 0.85288 | Dist: 550.7km | Tempo: ~565min | Rec: 5 | Stag: 1 | T:629.1s
G 971 | Fit: 0.85414 | Dist: 547.7km | Tempo: ~562min | Rec: 5 | Stag: 1 | T:635.1s
G 981 | Fit: 0.85540 | Dist: 544.7km | Tempo: ~559min | Rec: 5 | Stag: 0 | T:641.1s
G 991 | Fit: 0.85650 | Dist: 541.4km | Tempo: ~556min | Rec: 5 | Stag: 1 | T:647.5s
G1001 | Fit: 0.85786 | Dist: 538.5km | Tempo: ~553min | Rec: 5 | Stag: 1 | T:653.1s
G1011 | Fit: 0.85855 | Dist: 536.9km | Tempo: ~551min | Rec: 5 | Stag: 0 | T:659.6s
G1021 | Fit: 0.85965 | Dist: 533.8km | Tempo: ~548min | Rec: 5 | Stag: 0 | T:665.8s
G1031 | Fit: 0.86138 | Dist: 529.4km | Tempo: ~544min | Rec: 5 | Stag: 0 | T:671.2s
G1041 | Fit: 0.86242 | Dist: 527.6km | Tempo: ~541min | Rec: 5 | Stag: 0 | T:677.1s
G1051 | Fit: 0.86276 | Dist: 525.5km | Tempo: ~540min | Rec: 5 | Stag: 0 | T:682.9s
G1061 | Fit: 0.86332 | Dist: 524.2km | Tempo: ~539min | Rec: 5 | Stag: 2 | T:689.2s
G1071 | Fit: 0.86486 | Dist: 521.2km | Tempo: ~535min | Rec: 5 | Stag: 0 | T:694.7s
G1081 | Fit: 0.86567 | Dist: 518.8km | Tempo: ~533min | Rec: 5 | Stag: 0 | T:700.8s
G1091 | Fit: 0.86751 | Dist: 514.2km | Tempo: ~528min | Rec: 5 | Stag: 2 | T:707.1s
G1101 | Fit: 0.86833 | Dist: 512.6km | Tempo: ~526min | Rec: 5 | Stag: 0 | T:712.9s
G1111 | Fit: 0.86945 | Dist: 509.4km | Tempo: ~523min | Rec: 5 | Stag: 0 | T:718.6s
G1121 | Fit: 0.87074 | Dist: 506.7km | Tempo: ~520min | Rec: 5 | Stag: 0 | T:724.1s
G1131 | Fit: 0.87207 | Dist: 503.3km | Tempo: ~516min | Rec: 5 | Stag: 1 | T:730.4s
G1141 | Fit: 0.87259 | Dist: 502.1km | Tempo: ~515min | Rec: 5 | Stag: 1 | T:737.1s
G1151 | Fit: 0.87371 | Dist: 498.9km | Tempo: ~512min | Rec: 5 | Stag: 0 | T:744.0s
G1161 | Fit: 0.87453 | Dist: 497.2km | Tempo: ~510min | Rec: 5 | Stag: 1 | T:750.3s
G1171 | Fit: 0.87614 | Dist: 492.5km | Tempo: ~506min | Rec: 5 | Stag: 1 | T:757.1s
G1181 | Fit: 0.87783 | Dist: 488.3km | Tempo: ~502min | Rec: 5 | Stag: 1 | T:763.2s
G1191 | Fit: 0.87906 | Dist: 485.8km | Tempo: ~498min | Rec: 5 | Stag: 0 | T:769.5s
G1201 | Fit: 0.87996 | Dist: 483.1km | Tempo: ~496min | Rec: 5 | Stag: 2 | T:775.7s
G1211 | Fit: 0.88262 | Dist: 476.0km | Tempo: ~489min | Rec: 5 | Stag: 0 | T:782.4s
G1221 | Fit: 0.88385 | Dist: 473.0km | Tempo: ~486min | Rec: 5 | Stag: 0 | T:789.0s
G1231 | Fit: 0.88467 | Dist: 471.7km | Tempo: ~484min | Rec: 4 | Stag: 0 | T:795.8s
G1241 | Fit: 0.88537 | Dist: 469.0km | Tempo: ~482min | Rec: 5 | Stag: 0 | T:802.4s
G1251 | Fit: 0.88717 | Dist: 465.1km | Tempo: ~477min | Rec: 4 | Stag: 2 | T:808.4s
G1261 | Fit: 0.88866 | Dist: 461.4km | Tempo: ~473min | Rec: 4 | Stag: 0 | T:814.3s
G1271 | Fit: 0.88880 | Dist: 461.1km | Tempo: ~473min | Rec: 4 | Stag: 0 | T:820.1s
