=== OTIMIZAÇÃO DE ROTA DE DRONE (AG PURO V3) ===

Carregando dados...
Iniciando AG PURO V3...
=== INICIANDO AG PURO V3 (DISTÂNCIA + TEMPO) ===
G144 | Fit: 0.34171 | Dist: 2110.3km | Tempo: ~2159min | Rec: 17 | Stag: 1
G145 | Fit: 0.34171 | Dist: 2110.3km | Tempo: ~2159min | Rec: 17 | Stag: 2
G146 | Fit: 0.34743 | Dist: 2078.8km | Tempo: ~2129min | Rec: 18 | Stag: 0
G147 | Fit: 0.34743 | Dist: 2078.8km | Tempo: ~2129min | Rec: 18 | Stag: 1
G148 | Fit: 0.34743 | Dist: 2078.8km | Tempo: ~2129min | Rec: 18 | Stag: 2
G149 | Fit: 0.34743 | Dist: 2078.8km | Tempo: ~2129min | Rec: 18 | Stag: 3
G150 | Fit: 0.34807 | Dist: 2076.2km | Tempo: ~2126min | Rec: 18 | Stag: 0
G151 | Fit: 0.34807 | Dist: 2076.2km | Tempo: ~2126min | Rec: 18 | Stag: 1
G152 | Fit: 0.34807 | Dist: 2076.2km | Tempo: ~2126min | Rec: 18 | Stag: 2
G153 | Fit: 0.34807 | Dist: 2076.2km | Tempo: ~2126min | Rec: 18 | Stag: 3
G154 | Fit: 0.34902 | Dist: 2073.9km | Tempo: ~2121min | Rec: 17 | Stag: 0
G155 | Fit: 0.34902 | Dist: 2073.9km | Tempo: ~2121min | Rec: 17 | Stag: 1
G156 | Fit: 0.34902 | Dist: 2073.9km | Tempo: ~2121min | Rec: 17 | Stag: 2
G157 | Fit: 0.34902 | Dist: 2073.9km | Tempo: ~2121min | Rec: 17 | Stag: 3
G158 | Fit: 0.34902 | Dist: 2073.9km | Tempo: ~2121min | Rec: 17 | Stag: 4
G159 | Fit: 0.34975 | Dist: 2066.7km | Tempo: ~2117min | Rec: 18 | Stag: 0
G160 | Fit: 0.34975 | Dist: 2066.7km | Tempo: ~2117min | Rec: 18 | Stag: 1
G161 | Fit: 0.35066 | Dist: 2062.9km | Tempo: ~2112min | Rec: 17 | Stag: 0
G162 | Fit: 0.35118 | Dist: 2058.5km | Tempo: ~2110min | Rec: 18 | Stag: 0
G163 | Fit: 0.35208 | Dist: 2056.6km | Tempo: ~2105min | Rec: 17 | Stag: 0
G164 | Fit: 0.35208 | Dist: 2056.6km | Tempo: ~2105min | Rec: 17 | Stag: 1
G165 | Fit: 0.35208 | Dist: 2056.6km | Tempo: ~2105min | Rec: 17 | Stag: 2
G166 | Fit: 0.35208 | Dist: 2056.6km | Tempo: ~2105min | Rec: 17 | Stag: 3
G167 | Fit: 0.35484 | Dist: 2038.8km | Tempo: ~2091min | Rec: 19 | Stag: 0
G168 | Fit: 0.35484 | Dist: 2038.8km | Tempo: ~2091min | Rec: 19 | Stag: 1
G169 | Fit: 0.35547 | Dist: 2041.4km | Tempo: ~2088min | Rec: 17 | Stag: 0
G170 | Fit: 0.35547 | Dist: 2041.4km | Tempo: ~2088min | Rec: 17 | Stag: 1
G171 | Fit: 0.35602 | Dist: 2036.6km | Tempo: ~2085min | Rec: 18 | Stag: 0
G172 | Fit: 0.35602 | Dist: 2036.6km | Tempo: ~2085min | Rec: 18 | Stag: 1
G173 | Fit: 0.35925 | Dist: 2011.2km | Tempo: ~2069min | Rec: 20 | Stag: 0
G174 | Fit: 0.35994 | Dist: 2013.9km | Tempo: ~2065min | Rec: 19 | Stag: 0
G175 | Fit: 0.36062 | Dist: 2010.4km | Tempo: ~2062min | Rec: 18 | Stag: 0
G176 | Fit: 0.36115 | Dist: 2009.9km | Tempo: ~2059min | Rec: 18 | Stag: 0
G177 | Fit: 0.36186 | Dist: 2007.5km | Tempo: ~2056min | Rec: 18 | Stag: 0
G178 | Fit: 0.36186 | Dist: 2007.5km | Tempo: ~2056min | Rec: 18 | Stag: 1
G179 | Fit: 0.36186 | Dist: 2007.5km | Tempo: ~2056min | Rec: 18 | Stag: 2
G180 | Fit: 0.36405 | Dist: 1997.5km | Tempo: ~2045min | Rec: 18 | Stag: 0
G181 | Fit: 0.36856 | Dist: 1973.7km | Tempo: ~2023min | Rec: 18 | Stag: 0
G182 | Fit: 0.36856 | Dist: 1973.7km | Tempo: ~2023min | Rec: 18 | Stag: 1
G183 | Fit: 0.36899 | Dist: 1972.3km | Tempo: ~2021min | Rec: 18 | Stag: 0
G184 | Fit: 0.36945 | Dist: 1973.7km | Tempo: ~2019min | Rec: 17 | Stag: 0
G185 | Fit: 0.36956 | Dist: 1971.2km | Tempo: ~2018min | Rec: 17 | Stag: 0
G186 | Fit: 0.36956 | Dist: 1971.2km | Tempo: ~2018min | Rec: 17 | Stag: 1
G187 | Fit: 0.37043 | Dist: 1966.1km | Tempo: ~2014min | Rec: 17 | Stag: 0
G188 | Fit: 0.37127 | Dist: 1963.0km | Tempo: ~2010min | Rec: 17 | Stag: 0
G189 | Fit: 0.37127 | Dist: 1963.0km | Tempo: ~2010min | Rec: 17 | Stag: 1
G190 | Fit: 0.37269 | Dist: 1957.2km | Tempo: ~2003min | Rec: 17 | Stag: 0
G191 | Fit: 0.37269 | Dist: 1957.2km | Tempo: ~2003min | Rec: 17 | Stag: 1
G192 | Fit: 0.37269 | Dist: 1957.2km | Tempo: ~2003min | Rec: 17 | Stag: 2
G193 | Fit: 0.37303 | Dist: 1956.3km | Tempo: ~2002min | Rec: 17 | Stag: 0
G194 | Fit: 0.37420 | Dist: 1946.3km | Tempo: ~1996min | Rec: 18 | Stag: 0
G195 | Fit: 0.37420 | Dist: 1946.3km | Tempo: ~1996min | Rec: 18 | Stag: 1
G196 | Fit: 0.37602 | Dist: 1938.8km | Tempo: ~1987min | Rec: 18 | Stag: 0
G197 | Fit: 0.37602 | Dist: 1938.8km | Tempo: ~1987min | Rec: 18 | Stag: 1
G198 | Fit: 0.37602 | Dist: 1938.8km | Tempo: ~1987min | Rec: 18 | Stag: 2
G199 | Fit: 0.37602 | Dist: 1938.8km | Tempo: ~1987min | Rec: 18 | Stag: 3
G200 | Fit: 0.37616 | Dist: 1937.6km | Tempo: ~1987min | Rec: 18 | Stag: 0
G201 | Fit: 0.37715 | Dist: 1934.0km | Tempo: ~1982min | Rec: 18 | Stag: 0
G202 | Fit: 0.38466 | Dist: 1902.5km | Tempo: ~1947min | Rec: 16 | Stag: 0
G203 | Fit: 0.38466 | Dist: 1902.5km | Tempo: ~1947min | Rec: 16 | Stag: 1
G204 | Fit: 0.38466 | Dist: 1902.5km | Tempo: ~1947min | Rec: 16 | Stag: 2
G205 | Fit: 0.38802 | Dist: 1884.4km | Tempo: ~1932min | Rec: 17 | Stag: 0
G206 | Fit: 0.38802 | Dist: 1884.4km | Tempo: ~1932min | Rec: 17 | Stag: 1
G207 | Fit: 0.38802 | Dist: 1884.4km | Tempo: ~1932min | Rec: 17 | Stag: 2
G208 | Fit: 0.38802 | Dist: 1884.4km | Tempo: ~1932min | Rec: 17 | Stag: 3
G209 | Fit: 0.38802 | Dist: 1884.4km | Tempo: ~1932min | Rec: 17 | Stag: 4
G210 | Fit: 0.38802 | Dist: 1884.4km | Tempo: ~1932min | Rec: 17 | Stag: 5
G211 | Fit: 0.39070 | Dist: 1871.7km | Tempo: ~1920min | Rec: 17 | Stag: 0
G212 | Fit: 0.39070 | Dist: 1871.7km | Tempo: ~1920min | Rec: 17 | Stag: 1
G213 | Fit: 0.39070 | Dist: 1871.7km | Tempo: ~1920min | Rec: 17 | Stag: 2
G214 | Fit: 0.39070 | Dist: 1871.7km | Tempo: ~1920min | Rec: 17 | Stag: 3
G215 | Fit: 0.39070 | Dist: 1871.7km | Tempo: ~1920min | Rec: 17 | Stag: 4
G216 | Fit: 0.39070 | Dist: 1871.7km | Tempo: ~1920min | Rec: 17 | Stag: 5
G217 | Fit: 0.39070 | Dist: 1871.7km | Tempo: ~1920min | Rec: 17 | Stag: 6
G218 | Fit: 0.39137 | Dist: 1870.9km | Tempo: ~1917min | Rec: 17 | Stag: 0
G219 | Fit: 0.39179 | Dist: 1868.7km | Tempo: ~1915min | Rec: 17 | Stag: 0
G220 | Fit: 0.39179 | Dist: 1868.7km | Tempo: ~1915min | Rec: 17 | Stag: 1
G221 | Fit: 0.39179 | Dist: 1868.7km | Tempo: ~1915min | Rec: 17 | Stag: 2
G222 | Fit: 0.39207 | Dist: 1862.5km | Tempo: ~1914min | Rec: 18 | Stag: 0
G223 | Fit: 0.39207 | Dist: 1862.5km | Tempo: ~1914min | Rec: 18 | Stag: 1
G224 | Fit: 0.39207 | Dist: 1862.5km | Tempo: ~1914min | Rec: 18 | Stag: 2
G225 | Fit: 0.39207 | Dist: 1862.5km | Tempo: ~1914min | Rec: 18 | Stag: 3
G226 | Fit: 0.39422 | Dist: 1859.6km | Tempo: ~1904min | Rec: 16 | Stag: 0
G227 | Fit: 0.39422 | Dist: 1859.6km | Tempo: ~1904min | Rec: 16 | Stag: 1
G228 | Fit: 0.39422 | Dist: 1859.6km | Tempo: ~1904min | Rec: 16 | Stag: 2
G229 | Fit: 0.39422 | Dist: 1859.6km | Tempo: ~1904min | Rec: 16 | Stag: 3
G230 | Fit: 0.39422 | Dist: 1859.6km | Tempo: ~1904min | Rec: 16 | Stag: 4
G231 | Fit: 0.39422 | Dist: 1859.6km | Tempo: ~1904min | Rec: 16 | Stag: 5
G232 | Fit: 0.39422 | Dist: 1859.6km | Tempo: ~1904min | Rec: 16 | Stag: 6
G233 | Fit: 0.39422 | Dist: 1859.6km | Tempo: ~1904min | Rec: 16 | Stag: 7
G234 | Fit: 0.39616 | Dist: 1850.1km | Tempo: ~1896min | Rec: 17 | Stag: 0
G235 | Fit: 0.39616 | Dist: 1850.1km | Tempo: ~1896min | Rec: 17 | Stag: 1
G236 | Fit: 0.39616 | Dist: 1850.1km | Tempo: ~1896min | Rec: 17 | Stag: 2
G237 | Fit: 0.39616 | Dist: 1850.1km | Tempo: ~1896min | Rec: 17 | Stag: 3
G238 | Fit: 0.39616 | Dist: 1850.1km | Tempo: ~1896min | Rec: 17 | Stag: 4
G239 | Fit: 0.39616 | Dist: 1850.1km | Tempo: ~1896min | Rec: 17 | Stag: 5
G240 | Fit: 0.39616 | Dist: 1850.1km | Tempo: ~1896min | Rec: 17 | Stag: 6
G241 | Fit: 0.39616 | Dist: 1850.1km | Tempo: ~1896min | Rec: 17 | Stag: 7
G242 | Fit: 0.39641 | Dist: 1847.6km | Tempo: ~1895min | Rec: 17 | Stag: 0
G243 | Fit: 0.39770 | Dist: 1844.1km | Tempo: ~1889min | Rec: 16 | Stag: 0
G244 | Fit: 0.39770 | Dist: 1844.1km | Tempo: ~1889min | Rec: 16 | Stag: 1
G245 | Fit: 0.39951 | Dist: 1827.3km | Tempo: ~1881min | Rec: 19 | Stag: 0
G246 | Fit: 0.39951 | Dist: 1827.3km | Tempo: ~1881min | Rec: 19 | Stag: 1
G247 | Fit: 0.39951 | Dist: 1827.3km | Tempo: ~1881min | Rec: 19 | Stag: 2
G248 | Fit: 0.39951 | Dist: 1827.3km | Tempo: ~1881min | Rec: 19 | Stag: 3
G249 | Fit: 0.39951 | Dist: 1827.3km | Tempo: ~1881min | Rec: 19 | Stag: 4
G250 | Fit: 0.39951 | Dist: 1827.3km | Tempo: ~1881min | Rec: 19 | Stag: 5
